OrderItemID,OrderID,ProductID,Quantity,UnitPriceAtSale,DiscountPercent
OIT-000001,ORD-000001,PRD-0030,3,238.05,5
OIT-000002,ORD-000002,PRD-0009,2,53.45,5
OIT-000003,ORD-000002,PRD-0017,1,93.06,0
OIT-000004,ORD-000003,PRD-0019,3,34,0
OIT-000005,ORD-000004,PRD-0003,1,73.04,10
OIT-000006,ORD-000004,PRD-0022,2,148.89,15
OIT-000007,ORD-000004,PRD-0033,5,93.75,0
OIT-000008,ORD-000005,PRD-0003,2,73.04,10
OIT-000009,ORD-000005,PRD-0019,2,34,0
OIT-000010,ORD-000005,PRD-0002,4,92.46,10
OIT-000011,ORD-000006,PRD-0031,4,200.17,5
OIT-000012,ORD-000006,PRD-0017,5,93.06,20
OIT-000013,ORD-000006,PRD-0029,1,214.12,10
OIT-000014,ORD-000007,PRD-0006,5,43.06,20
OIT-000015,ORD-000008,PRD-0022,4,148.89,20
OIT-000016,ORD-000008,PRD-0028,3,29.95,0
OIT-000017,ORD-000009,PRD-0025,3,106.61,5
OIT-000018,ORD-000010,PRD-0009,2,53.45,0
OIT-000019,ORD-000011,PRD-0033,4,93.75,0
OIT-000020,ORD-000011,PRD-0029,5,214.12,5
OIT-000021,ORD-000012,PRD-0014,4,50.1,5
OIT-000022,ORD-000013,PRD-0009,2,53.45,10
OIT-000023,ORD-000014,PRD-0006,1,43.06,10
OIT-000024,ORD-000015,PRD-0025,5,106.61,0
OIT-000025,ORD-000015,PRD-0001,4,110.19,15
OIT-000026,ORD-000015,PRD-0018,1,215.3,10
OIT-000027,ORD-000015,PRD-0031,5,200.17,0
OIT-000028,ORD-000016,PRD-0014,1,50.1,10
OIT-000029,ORD-000016,PRD-0022,3,148.89,15
OIT-000030,ORD-000017,PRD-0021,5,120.98,0
OIT-000031,ORD-000017,PRD-0016,5,71.94,0
OIT-000032,ORD-000018,PRD-0008,3,127.02,0
OIT-000033,ORD-000019,PRD-0004,2,34.84,0
OIT-000034,ORD-000019,PRD-0024,2,78.19,5
OIT-000035,ORD-000020,PRD-0006,4,43.06,0
OIT-000036,ORD-000020,PRD-0027,1,189.64,10
OIT-000037,ORD-000021,PRD-0015,2,310.39,5
OIT-000038,ORD-000022,PRD-0001,5,110.19,0
OIT-000039,ORD-000023,PRD-0034,5,123.24,10
OIT-000040,ORD-000023,PRD-0026,4,199.02,10
OIT-000041,ORD-000024,PRD-0010,5,77.92,15
OIT-000042,ORD-000025,PRD-0035,2,222.35,15
