PaymentID,OrderID,PaymentDate,Amount,Currency,PaymentStatus
PAY-000001,ORD-000001,2020-04-11,702.22,USD,Pending
PAY-000002,ORD-000002,2024-08-27,217.72,USD,Completed
PAY-000003,ORD-000004,2023-11-20,796.4,USD,Completed
PAY-000004,ORD-000005,2020-08-24,534.25,USD,Completed
PAY-000005,ORD-000006,2025-02-18,1349.45,USD,Completed
PAY-000006,ORD-000008,2024-09-14,586.57,USD,Refunded
PAY-000007,ORD-000009,2025-02-14,321.53,USD,Failed
PAY-000008,ORD-000010,2025-09-28,129.85,USD,Completed
PAY-000009,ORD-000011,2022-06-24,1400.31,USD,Completed
PAY-000010,ORD-000012,2024-07-17,198.71,USD,Completed
PAY-000011,ORD-000013,2024-03-15,111.09,USD,Completed
PAY-000012,ORD-000014,2025-06-09,55.5,USD,Completed
PAY-000013,ORD-000015,2025-12-17,2111.37,USD,Completed
PAY-000014,ORD-000016,2022-04-03,430.42,USD,Completed
PAY-000015,ORD-000018,2025-09-27,395.99,USD,Completed
PAY-000016,ORD-000019,2021-04-03,227.35,USD,Completed
PAY-000017,ORD-000020,2024-08-16,356.27,USD,Completed
PAY-000018,ORD-000021,2022-08-30,601.28,USD,Completed
PAY-000019,ORD-000022,2022-07-15,570.98,USD,Completed
PAY-000020,ORD-000023,2020-05-09,1294.41,USD,Completed
PAY-000021,ORD-000024,2024-09-22,342.39,USD,Failed
PAY-000022,ORD-000025,2023-08-14,400.12,USD,Refunded
PAY-000023,ORD-000026,2025-08-03,1131.65,USD,Pending
PAY-000024,ORD-000027,2020-04-24,767.27,USD,Failed
PAY-000025,ORD-000028,2025-03-12,513.46,USD,Pending
PAY-000026,ORD-000029,2025-08-29,674.7,USD,Completed
PAY-000027,ORD-000030,2025-10-08,3146.03,USD,Completed
PAY-000028,ORD-000031,2019-08-04,106.98,USD,Completed
PAY-000029,ORD-000032,2024-10-22,31.76,USD,Completed
PAY-000030,ORD-000033,2022-10-20,493.12,USD,Completed
PAY-000031,ORD-000034,2020-09-26,384.72,USD,Completed
PAY-000032,ORD-000035,2025-01-25,468.72,USD,Refunded
PAY-000033,ORD-000036,2025-06-27,1735.84,USD,Completed
PAY-000034,ORD-000037,2022-01-25,56.14,USD,Completed
PAY-000035,ORD-000038,2024-11-20,815.48,USD,Completed
PAY-000036,ORD-000039,2023-05-31,112.57,USD,Completed
PAY-000037,ORD-000040,2022-07-23,192.28,USD,Completed
PAY-000038,ORD-000041,2022-01-25,132.33,USD,Pending
PAY-000039,ORD-000042,2024-07-18,2612.92,USD,Refunded
PAY-000040,ORD-000043,2025-09-23,1066.77,USD,Completed
PAY-000041,ORD-000044,2025-04-03,550.96,USD,Completed
PAY-000042,ORD-000045,2022-08-19,1296.22,USD,Pending
PAY-000043,ORD-000046,2024-07-01,2722.99,USD,Completed
PAY-000044,ORD-000047,2023-09-20,296.13,USD,Refunded
PAY-000045,ORD-000048,2023-03-07,369.27,USD,Completed
PAY-000046,ORD-000049,2024-11-06,112.93,USD,Completed
PAY-000047,ORD-000050,2020-03-11,1141.83,USD,Completed
PAY-000048,ORD-000051,2025-01-16,515.93,USD,Completed
